[+] Started: Mon Aug 10 10:25:27 UTC 2026
[+] Run ID: 31313826637
[+] Batch: batch-0001
[+] URL count: 66
[0:00:05] | Templates: 6831 | Hosts: 66 | RPS: 60 | Matched: 0 | Errors: 0 | Requests: 316/999306 (0%)
[0:00:10] | Templates: 6831 | Hosts: 66 | RPS: 55 | Matched: 0 | Errors: 0 | Requests: 571/999306 (0%)
[0:00:15] | Templates: 6831 | Hosts: 66 | RPS: 53 | Matched: 0 | Errors: 0 | Requests: 821/999306 (0%)
[0:00:20] | Templates: 6831 | Hosts: 66 | RPS: 53 | Matched: 0 | Errors: 12 | Requests: 1091/999306 (0%)
[0:00:25] | Templates: 6831 | Hosts: 66 | RPS: 53 | Matched: 0 | Errors: 14 | Requests: 1356/999306 (0%)
[0:00:30] | Templates: 6831 | Hosts: 66 | RPS: 59 | Matched: 0 | Errors: 24 | Requests: 1796/999306 (0%)
[0:00:35] | Templates: 6831 | Hosts: 66 | RPS: 58 | Matched: 0 | Errors: 24 | Requests: 2073/999306 (0%)
[0:00:40] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 26 | Requests: 2322/999306 (0%)
[0:00:45] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 28 | Requests: 2594/999306 (0%)
[0:00:50] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 28 | Requests: 2902/999306 (0%)
[0:00:55] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 36 | Requests: 3174/999306 (0%)
[0:01:00] | Templates: 6831 | Hosts: 66 | RPS: 56 | Matched: 0 | Errors: 40 | Requests: 3434/999306 (0%)
[0:01:05] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 51 | Requests: 3741/999306 (0%)
[0:01:10] | Templates: 6831 | Hosts: 66 | RPS: 56 | Matched: 0 | Errors: 101 | Requests: 3936/999306 (0%)
[0:01:15] | Templates: 6831 | Hosts: 66 | RPS: 56 | Matched: 0 | Errors: 222 | Requests: 4246/999306 (0%)
[0:01:20] | Templates: 6831 | Hosts: 66 | RPS: 57 | Matched: 0 | Errors: 310 | Requests: 4650/999306 (0%)
[0:01:25] | Templates: 6831 | Hosts: 66 | RPS: 59 | Matched: 0 | Errors: 326 | Requests: 5051/999306 (0%)
[0:01:30] | Templates: 6831 | Hosts: 66 | RPS: 60 | Matched: 0 | Errors: 334 | Requests: 5486/999306 (0%)
[0:01:35] | Templates: 6831 | Hosts: 66 | RPS: 61 | Matched: 0 | Errors: 336 | Requests: 5886/999306 (0%)
[0:01:40] | Templates: 6831 | Hosts: 66 | RPS: 64 | Matched: 0 | Errors: 370 | Requests: 6485/999306 (0%)
